	dHEP_520_A_NT	dHEP_550_A_NT	F_F_158_NC_NT	dHEP_549_A_NT	F_F_503_A_NT	dHEP_165_NC_NT	F_F_595_A_NT	F_F_523_A_NT	F_F_157_NC_NT	dHEP_518_A_NT	dHEP_164_NC_NT	dHEP_155_NC_NT	F_F_159_NC_NT	F_F_581_A_NT
Slc7a7	1.85008638942	1.85984738468	2.23474874734	2.29710070913	1.96322986954	1.56865607696	2.55038505252	2.66758038739	1.5377559947	0.791592880405	1.68980702503	2.14821909864	1.47069698435	2.98660424032
Oxa1l	4.89917496416	5.04355510419	5.27222345275	4.9263250847	5.01853635657	5.20827644845	4.878592867	4.71343296063	5.07768210405	4.86856562522	5.07550624608	4.89072287634	5.1230508966	5.00285794308
Heatr6	4.56080703732	4.35204665859	4.50428342756	4.57040809282	4.6275870243	4.5639969026	4.79394955543	4.34611130827	4.62343647334	4.27576419101	4.62451025302	4.40747633528	4.52535559403	4.49833945656
Ilf2	3.72842887259	3.66086744713	3.89379092246	3.75085608068	3.46509713764	4.127285027	3.69376887134	3.29850526636	3.82454406124	3.52351083002	4.0486297359	4.00599867037	3.85831317536	3.85003775317
Chtop	5.53627196446	5.54728542401	5.52613312421	5.53410023435	5.46638010352	5.64020110332	5.67251654306	5.28867763548	5.68118319397	5.335250241	5.69867160133	5.59458249648	5.63736533646	5.35443004516
Snapin	4.29861157893	4.0593119831	4.10787754554	4.02937187877	4.2584487795	4.15339164964	3.62479174095	4.30848450854	3.65568525608	3.92117895271	4.01958120338	4.02122725942	4.1643395106	4.31548198028
S100a6	-0.251914394488	1.15979711048	0.0266060999984	-0.0945622817771	-0.581866341331	0.436135960729	-0.760639296248	0.821486593387	0.443925423065	-0.128451815013	-1.31052082295	-0.571329442452	0.209288150567	1.0907228974
Icam2	1.15526098702	1.15979711048	1.21563992439	1.39576334481	1.11203053094	1.64424415606	1.56128879864	1.7070278688	1.29192232962	1.07590668349	1.67299105426	1.78856650263	1.53899359605	2.01331839371
Mapk7	1.10716669882	1.20955014567	1.16410962375	1.34601030961	1.59745735811	1.68667942238	1.43656004798	1.44663818422	0.754265543677	0.633388447792	0.957968012978	1.2497004165	0.2852370038	1.4124787199
Epn2	3.83554844676	3.9005542838	3.86253017425	3.77521514081	3.50559649992	3.81177464236	3.53991514785	3.87253419898	3.40739954704	3.81966144332	3.53838658855	3.92692142508	3.48767481876	3.89807781945
Sec24b	4.41681646393	4.15027433636	4.57504272469	4.28460976494	4.86400054972	4.27512249184	4.3392499357	4.8472361648	4.92677370613	4.83783418937	4.37725248336	4.28000317667	4.42400107376	4.43614469495
N4bp3	1.79437925779	1.63068784449	1.79214084636	1.92251123158	1.26140815498	2.67618704856	2.14058254927	1.53875638621	1.77734915679	1.72302566028	1.94429307608	1.67152708144	1.33968478782	2.6466855264
Rmnd5b	4.05424638454	3.63524612645	3.90238616307	3.76578572789	3.57384480089	3.63885089729	3.63973789632	3.69038760311	3.93449555351	3.76161415795	3.56543791311	3.93540789096	3.66161288271	3.59068774511
Nhp2	3.49598667736	4.09839656581	3.23449895164	3.69799563835	3.52542767184	3.50296746921	4.13773979951	3.55722904628	3.28388501055	3.46172839498	3.67713078462	3.63552212799	3.48767481876	3.84161733019
Vps9d1	4.18162569102	4.044309347	3.8480714238	4.1315057977	3.81335778836	4.15180215309	3.55703932564	3.78996790691	4.16201300703	4.28756544324	3.82623731456	3.73862280478	3.90371663067	3.91033008028
Zfp276	5.25007851521	4.95739265705	4.50883484611	5.32173058872	5.01871126474	5.24742981476	4.39859096408	4.38881752984	5.10042179362	5.31209601595	5.07838881722	4.66786490056	5.01257104804	4.33697214626
Mfsd10	1.96599063586	2.17239714725	1.98266275241	1.53548810847	1.5204953763	2.11731377671	1.83839838968	2.15801206449	1.68271228265	1.79092972478	1.88825904117	1.78856650263	1.50762942514	2.10144930399
Luzp1	5.19750343552	5.19264036716	5.27301418724	5.32850359126	5.36821777138	5.21659087959	5.26172851678	5.37242898518	5.18161218447	5.10787441215	5.21161484032	5.26156057171	5.22021311263	5.27848119193
Kctd10	3.52675129514	3.57938331045	4.01944702618	3.7821534419	3.57384480089	4.02523819181	4.05577970824	3.89012825899	3.67658617986	3.34233966579	4.02770908427	3.90979724728	3.8612939513	3.97142304089
